,month,cow_id,iso_alpha3,gw_id,country,FEATUREID,border_change
107615,1970-12-01,345,YUG,345,Yugoslavia,191,0.0
107616,1971-01-01,345,YUG,345,Yugoslavia,191,0.0
107617,1971-02-01,345,YUG,345,Yugoslavia,191,0.0
107618,1971-03-01,345,YUG,345,Yugoslavia,191,0.0
107619,1971-04-01,345,YUG,345,Yugoslavia,191,0.0
107620,1971-05-01,345,YUG,345,Yugoslavia,191,0.0
107621,1971-06-01,345,YUG,345,Yugoslavia,191,0.0
107622,1971-07-01,345,YUG,345,Yugoslavia,191,0.0
107623,1971-08-01,345,YUG,345,Yugoslavia,191,0.0
107624,1971-09-01,345,YUG,345,Yugoslavia,191,0.0
107625,1971-10-01,345,YUG,345,Yugoslavia,191,0.0
107626,1971-11-01,345,YUG,345,Yugoslavia,191,0.0
107627,1971-12-01,345,YUG,345,Yugoslavia,191,0.0
107628,1972-01-01,345,YUG,345,Yugoslavia,191,0.0
107629,1972-02-01,345,YUG,345,Yugoslavia,191,0.0
107630,1972-03-01,345,YUG,345,Yugoslavia,191,0.0
107631,1972-04-01,345,YUG,345,Yugoslavia,191,0.0
107632,1972-05-01,345,YUG,345,Yugoslavia,191,0.0
107633,1972-06-01,345,YUG,345,Yugoslavia,191,0.0
107634,1972-07-01,345,YUG,345,Yugoslavia,191,0.0
107635,1972-08-01,345,YUG,345,Yugoslavia,191,0.0
107636,1972-09-01,345,YUG,345,Yugoslavia,191,0.0
107637,1972-10-01,345,YUG,345,Yugoslavia,191,0.0
107638,1972-11-01,345,YUG,345,Yugoslavia,191,0.0
107639,1972-12-01,345,YUG,345,Yugoslavia,191,0.0
107640,1973-01-01,345,YUG,345,Yugoslavia,191,0.0
107641,1973-02-01,345,YUG,345,Yugoslavia,191,0.0
107642,1973-03-01,345,YUG,345,Yugoslavia,191,0.0
107643,1973-04-01,345,YUG,345,Yugoslavia,191,0.0
107644,1973-05-01,345,YUG,345,Yugoslavia,191,0.0
107645,1973-06-01,345,YUG,345,Yugoslavia,191,0.0
107646,1973-07-01,345,YUG,345,Yugoslavia,191,0.0
107647,1973-08-01,345,YUG,345,Yugoslavia,191,0.0
